id,shortName,stem,notstem,courses,stem_ratio,sessions,pictures
1,'stanford',25,6,31,0.806451613,82,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/stanford.jpg
3,'umich',8,7,15,0.533333333,76,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/umich.jpg
4,'princeton',9,5,14,0.642857143,40,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/princeton.jpg
6,'penn',16,18,34,0.470588235,72,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/penn.jpg
7,'duke',14,12,26,0.538461538,51,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/duke.jpg
8,'jhu',16,19,35,0.457142857,193,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/jhu.jpg
9,'gatech',13,6,19,0.684210526,42,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/gatech.jpg
10,'ucsf',12,0,12,1,19,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ucsf.jpg
11,'utoronto',7,3,10,0.7,15,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/utoronto.jpg
12,'caltech',5,0,5,1,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/caltech.jpg
13,'rice',8,7,15,0.533333333,23,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/rice.jpg
14,'edinburgh',6,7,13,0.461538462,30,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/edinburgh.jpg
15,'uw',9,7,16,0.5625,58,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uw.jpg
16,'epfl',12,4,16,0.75,31,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/epfl.jpg
17,'illinois',12,2,14,0.857142857,45,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/illinois.jpg
18,'uva',3,8,11,0.272727273,23,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uva.jpg
21,'berklee',0,5,5,0,30,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/berklee.jpg
22,'brown',2,2,4,0.5,6,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/brown.jpg
23,'emory',1,7,8,0.125,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/emory.jpg
24,'huji',3,2,5,0.6,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/huji.jpg
25,'leiden',2,3,5,0.4,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/leiden.jpg
26,'london',2,9,11,0.181818182,18,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/london.jpg
27,'mssm',5,0,5,1,9,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/mssm.jpg
28,'osu',5,6,11,0.454545455,18,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/osu.jpg
29,'ubc',1,3,4,0.25,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ubc.jpg
30,'uci',8,3,11,0.727272727,30,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uci.jpg
31,'ufl',8,4,12,0.666666667,17,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ufl.jpg
32,'umd',7,6,13,0.538461538,47,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/umd.jpg
33,'unimelb',9,2,11,0.818181818,19,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unimelb.jpg
34,'wesleyan',3,6,9,0.333333333,18,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/wesleyan.jpg
35,'hkust',1,4,5,0.2,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/hkust.jpg
36,'pitt',3,2,5,0.6,11,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/pitt.jpg
37,'vanderbilt',3,7,10,0.3,16,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/vanderbilt.jpg
40,'columbia',9,1,10,0.9,13,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/columbia.jpg
45,'cuhk',1,5,6,0.166666667,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/cuhk.jpg
47,'nus',1,2,3,0.333333333,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/nus.jpg
49,'unige',2,4,6,0.333333333,8,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unige.jpg
50,'minnesota',5,7,12,0.416666667,16,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/minnesota.jpg
51,'psu',2,6,8,0.25,12,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/psu.jpg
53,'ucsd',7,1,8,0.875,18,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ucsd.jpg
54,'northwestern',3,5,8,0.375,13,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/northwestern.jpg
56,'ucsc',1,2,3,0.333333333,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ucsc.jpg
57,'dtu',2,0,2,1,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/dtu.jpg
58,'unam',1,3,4,0.25,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unam.jpg
59,'calarts',1,2,3,0.333333333,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/calarts.jpg
60,'rochester',4,4,8,0.5,15,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/rochester.jpg
61,'ie',1,1,2,0.5,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ie.jpg
62,'tecdemonterrey',5,4,9,0.555555556,23,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/tecdemonterrey.jpg
63,'ucph',3,5,8,0.375,14,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ucph.jpg
64,'lmu',6,0,6,1,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/lmu.jpg
65,'wisconsin',2,2,4,0.5,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/wisconsin.jpg
66,'ep',5,0,5,1,9,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ep.jpg
67,'rutgers',2,1,3,0.666666667,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/rutgers.jpg
68,'casewestern',2,3,5,0.4,11,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/casewestern.jpg
71,'boulder',1,1,2,0.5,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/boulder.jpg
73,'worldbank',2,0,2,1,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/worldbank.jpg
74,'sapienza',0,3,3,0,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/sapienza.jpg
75,'taiwan',6,6,12,0.5,15,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/taiwan.jpg
76,'utokyo',2,1,3,0.666666667,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/utokyo.jpg
77,'unc',1,5,6,0.166666667,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/unc.jpg
78,'tum',2,0,2,1,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/tum.jpg
79,'curtis',0,3,3,0,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/curtis.jpg
80,'uab',1,7,8,0.125,11,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uab.jpg
93,'zurich',0,2,2,0,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/zurich.jpg
100,'amnh',2,1,3,0.666666667,12,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/amnh.jpg
102,'chicago',3,0,3,1,6,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/chicago.jpg
103,'ntc',1,4,5,0.2,10,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ntc.jpg
104,'relay',0,2,2,0,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/relay.jpg
105,'mtr',0,3,3,0,6,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/mtr.jpg
106,'cet1886',0,8,8,0,24,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/cet1886.jpg
107,'moma',0,2,2,0,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/moma.jpg
108,'exploratorium',1,1,2,0.5,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/exploratorium.jpg
109,'yale',1,3,4,0.25,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/yale.jpg
110,'telaviv',1,2,3,0.333333333,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/telaviv.jpg
116,'wvu',2,0,2,1,2,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/wvu.jpg
117,'suny',2,2,4,0.5,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/suny.jpg
119,'uhs',2,2,4,0.5,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uhs.jpg
120,'newmexico',2,1,3,0.666666667,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/newmexico.jpg
121,'ntu',3,0,3,1,7,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ntu.jpg
123,'usg',0,0,0,0,0,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/usg.jpg
124,'nebraska',1,0,1,1,1,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/nebraska.jpg
126,'cusystem',3,2,5,0.6,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/cusystem.jpg
127,'uk',1,1,2,0.5,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/uk.jpg
128,'ecp',2,1,3,0.666666667,5,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ecp.jpg
129,'technion',2,0,2,1,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/technion.jpg
130,'ens',2,1,3,0.666666667,6,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ens.jpg
131,'amsterdam',0,2,2,0,3,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/amsterdam.jpg
146,'ualberta',1,1,2,0.5,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/ualberta.jpg
147,'manchester',3,1,4,0.75,4,https://coursera_assets.s3.amazonaws.com/about/partners/logos-140x140/manchester.jpg
